seed_index,base_seed,task_seed,policy,task,checkpoint,config,episodes,fall_rate,avg_distance,max_distance,avg_forward_velocity,avg_return,weak_success_rate,strict_success_rate,eval_score
0,12345,112345,teacher,random_slope_shift,/home/jkouil/robot_project/artifacts/teacher_walk_preview_gru_random_slopes_shifted_no_corridor_iterative_finetune/v11/best_teacher.zip,/home/jkouil/robot_project/configs/teacher_walk_preview_gru_random_slopes_shifted_no_corridor.yaml,50,0.1,3.3224030498693202,4.30297339643209,0.14343136601870138,1019.6579486707461,0.0,0.0,-0.066120152493466
0,12345,212345,teacher,random_slope_shift_hard_heldout,/home/jkouil/robot_project/artifacts/teacher_walk_preview_gru_random_slopes_shifted_no_corridor_iterative_finetune/v11/best_teacher.zip,/home/jkouil/robot_project/configs/teacher_walk_preview_gru_random_slopes_shifted_hard_heldout.yaml,50,0.36,2.8894745485746687,4.266928114656583,0.13747035948703037,846.1437944744698,0.0,0.0,0.21552627257126655
0,12345,112345,paper_like_finetune,random_slope_shift,/home/jkouil/robot_project/artifacts/student_paper_like_finetune_same_budget/best_by_eval.pt,/home/jkouil/robot_project/configs/student_paper_like_finetune_same_budget.yaml,50,0.1,3.3903385020072436,4.3663372316220475,0.14496622700511475,1054.532657572954,0.0,0.0,-0.0695169251003622
0,12345,212345,paper_like_finetune,random_slope_shift_hard_heldout,/home/jkouil/robot_project/artifacts/student_paper_like_finetune_same_budget/best_by_eval.pt,/home/jkouil/robot_project/configs/student_paper_like_finetune_same_budget.yaml,50,0.48,2.762860463410653,4.2210600920851995,0.13883774626779352,807.9856441953048,0.0,0.0,0.34185697682946736
0,12345,112345,residual_gated_imu_clean,random_slope_shift,/home/jkouil/robot_project/artifacts/student_residual_gated_imu_clean_bc/best_by_val_loss.pt,/home/jkouil/robot_project/configs/student_residual_gated_imu_clean.yaml,50,0.14,3.2832047354999183,4.38643499299494,0.1432505518839771,1006.8713288905251,0.0,0.0,-0.024160236774995902
0,12345,212345,residual_gated_imu_clean,random_slope_shift_hard_heldout,/home/jkouil/robot_project/artifacts/student_residual_gated_imu_clean_bc/best_by_val_loss.pt,/home/jkouil/robot_project/configs/student_residual_gated_imu_clean.yaml,50,0.46,2.7318619196214122,4.2411899163205025,0.13781379139672056,808.9381892369938,0.0,0.0,0.3234069040189294
0,12345,112345,residual_bilinear_imu_clean,random_slope_shift,/home/jkouil/robot_project/artifacts/student_residual_bilinear_imu_clean_bc/best_by_eval.pt,/home/jkouil/robot_project/configs/student_residual_bilinear_imu_clean.yaml,50,0.12,3.3072494813671613,4.308667228219136,0.14348510100557957,1017.298337261877,0.0,0.0,-0.04536247406835808
0,12345,212345,residual_bilinear_imu_clean,random_slope_shift_hard_heldout,/home/jkouil/robot_project/artifacts/student_residual_bilinear_imu_clean_bc/best_by_eval.pt,/home/jkouil/robot_project/configs/student_residual_bilinear_imu_clean.yaml,50,0.58,2.634992123117048,4.269438913831394,0.137810555517872,767.7827732327429,0.0,0.0,0.44825039384414755
1,22345,122345,teacher,random_slope_shift,/home/jkouil/robot_project/artifacts/teacher_walk_preview_gru_random_slopes_shifted_no_corridor_iterative_finetune/v11/best_teacher.zip,/home/jkouil/robot_project/configs/teacher_walk_preview_gru_random_slopes_shifted_no_corridor.yaml,50,0.14,3.2383873290063785,4.340432376746617,0.1416367285922432,993.1238758922985,0.0,0.0,-0.021919366450318917
1,22345,222345,teacher,random_slope_shift_hard_heldout,/home/jkouil/robot_project/artifacts/teacher_walk_preview_gru_random_slopes_shifted_no_corridor_iterative_finetune/v11/best_teacher.zip,/home/jkouil/robot_project/configs/teacher_walk_preview_gru_random_slopes_shifted_hard_heldout.yaml,50,0.4,2.752522601362953,4.289988150807602,0.13568726478210566,824.1488163964967,0.0,0.0,0.26237386993185235
1,22345,122345,paper_like_finetune,random_slope_shift,/home/jkouil/robot_project/artifacts/student_paper_like_finetune_same_budget/best_by_eval.pt,/home/jkouil/robot_project/configs/student_paper_like_finetune_same_budget.yaml,50,0.1,3.2898933241426365,4.386247983949664,0.13959696760481094,1006.4355958046574,0.0,0.0,-0.06449466620713182
1,22345,222345,paper_like_finetune,random_slope_shift_hard_heldout,/home/jkouil/robot_project/artifacts/student_paper_like_finetune_same_budget/best_by_eval.pt,/home/jkouil/robot_project/configs/student_paper_like_finetune_same_budget.yaml,50,0.38,2.916146940978118,4.217968926769304,0.14128779273845107,866.8540403090817,0.0,0.0,0.2341926529510941
1,22345,122345,residual_gated_imu_clean,random_slope_shift,/home/jkouil/robot_project/artifacts/student_residual_gated_imu_clean_bc/best_by_val_loss.pt,/home/jkouil/robot_project/configs/student_residual_gated_imu_clean.yaml,50,0.14,3.184477408426902,4.349960254910304,0.13897748298230575,982.409979632066,0.0,0.0,-0.0192238704213451
1,22345,222345,residual_gated_imu_clean,random_slope_shift_hard_heldout,/home/jkouil/robot_project/artifacts/student_residual_gated_imu_clean_bc/best_by_val_loss.pt,/home/jkouil/robot_project/configs/student_residual_gated_imu_clean.yaml,50,0.48,2.7237079201952463,4.178531609531908,0.14005690924261516,802.1998785985465,0.0,0.0,0.34381460399023767
1,22345,122345,residual_bilinear_imu_clean,random_slope_shift,/home/jkouil/robot_project/artifacts/student_residual_bilinear_imu_clean_bc/best_by_eval.pt,/home/jkouil/robot_project/configs/student_residual_bilinear_imu_clean.yaml,50,0.18,3.157324367419035,4.370439931209733,0.14062640048728337,961.3438767883631,0.0,0.0,0.02213378162904822
1,22345,222345,residual_bilinear_imu_clean,random_slope_shift_hard_heldout,/home/jkouil/robot_project/artifacts/student_residual_bilinear_imu_clean_bc/best_by_eval.pt,/home/jkouil/robot_project/configs/student_residual_bilinear_imu_clean.yaml,50,0.38,2.8766113214796265,4.103774086761092,0.1412554753119834,848.8533414067682,0.0,0.0,0.23616943392601866
2,32345,132345,teacher,random_slope_shift,/home/jkouil/robot_project/artifacts/teacher_walk_preview_gru_random_slopes_shifted_no_corridor_iterative_finetune/v11/best_teacher.zip,/home/jkouil/robot_project/configs/teacher_walk_preview_gru_random_slopes_shifted_no_corridor.yaml,50,0.16,3.244040781789062,4.353135439068965,0.14220906266946154,994.8900474409814,0.0,0.0,-0.0022020390894531006
2,32345,232345,teacher,random_slope_shift_hard_heldout,/home/jkouil/robot_project/artifacts/teacher_walk_preview_gru_random_slopes_shifted_no_corridor_iterative_finetune/v11/best_teacher.zip,/home/jkouil/robot_project/configs/teacher_walk_preview_gru_random_slopes_shifted_hard_heldout.yaml,50,0.36,2.9977045243094524,4.305691523477608,0.138073042677871,870.2732014009889,0.0,0.0,0.21011477378452736
2,32345,132345,paper_like_finetune,random_slope_shift,/home/jkouil/robot_project/artifacts/student_paper_like_finetune_same_budget/best_by_eval.pt,/home/jkouil/robot_project/configs/student_paper_like_finetune_same_budget.yaml,50,0.1,3.348474219323356,4.340427859712631,0.14317288071835385,1041.0816365069697,0.0,0.0,-0.06742371096616781
2,32345,232345,paper_like_finetune,random_slope_shift_hard_heldout,/home/jkouil/robot_project/artifacts/student_paper_like_finetune_same_budget/best_by_eval.pt,/home/jkouil/robot_project/configs/student_paper_like_finetune_same_budget.yaml,50,0.44,2.7545620379175393,4.224856823992108,0.1370748254170045,811.7196442495894,0.0,0.0,0.302271898104123
2,32345,132345,residual_gated_imu_clean,random_slope_shift,/home/jkouil/robot_project/artifacts/student_residual_gated_imu_clean_bc/best_by_val_loss.pt,/home/jkouil/robot_project/configs/student_residual_gated_imu_clean.yaml,50,0.14,3.2905132141813227,4.349111871657161,0.14065587876229776,1005.797059385698,0.0,0.0,-0.024525660709066144
2,32345,232345,residual_gated_imu_clean,random_slope_shift_hard_heldout,/home/jkouil/robot_project/artifacts/student_residual_gated_imu_clean_bc/best_by_val_loss.pt,/home/jkouil/robot_project/configs/student_residual_gated_imu_clean.yaml,50,0.44,2.916185427029881,4.301804079835524,0.13858098309970837,877.6262316804086,0.0,0.0,0.29419072864850593
2,32345,132345,residual_bilinear_imu_clean,random_slope_shift,/home/jkouil/robot_project/artifacts/student_residual_bilinear_imu_clean_bc/best_by_eval.pt,/home/jkouil/robot_project/configs/student_residual_bilinear_imu_clean.yaml,50,0.18,3.2125394927170667,4.328691409737413,0.1420188656988487,989.1585658626667,0.0,0.0,0.019373025364146645
2,32345,232345,residual_bilinear_imu_clean,random_slope_shift_hard_heldout,/home/jkouil/robot_project/artifacts/student_residual_bilinear_imu_clean_bc/best_by_eval.pt,/home/jkouil/robot_project/configs/student_residual_bilinear_imu_clean.yaml,50,0.46,2.7273587330079287,4.300641602043667,0.13656621485006248,782.4766568260702,0.0,0.0,0.3236320633496036
3,42345,142345,teacher,random_slope_shift,/home/jkouil/robot_project/artifacts/teacher_walk_preview_gru_random_slopes_shifted_no_corridor_iterative_finetune/v11/best_teacher.zip,/home/jkouil/robot_project/configs/teacher_walk_preview_gru_random_slopes_shifted_no_corridor.yaml,50,0.12,3.3695589856378416,4.3795661552779075,0.14704385241585094,1034.0831171330915,0.0,0.0,-0.048477949281892085
3,42345,242345,teacher,random_slope_shift_hard_heldout,/home/jkouil/robot_project/artifacts/teacher_walk_preview_gru_random_slopes_shifted_no_corridor_iterative_finetune/v11/best_teacher.zip,/home/jkouil/robot_project/configs/teacher_walk_preview_gru_random_slopes_shifted_hard_heldout.yaml,50,0.28,3.0628192658192326,4.340871424315296,0.13810803837028904,869.6597219731493,0.0,0.0,0.1268590367090384
3,42345,142345,paper_like_finetune,random_slope_shift,/home/jkouil/robot_project/artifacts/student_paper_like_finetune_same_budget/best_by_eval.pt,/home/jkouil/robot_project/configs/student_paper_like_finetune_same_budget.yaml,50,0.18,3.2789830875222092,4.398901912641835,0.14461341780216444,1004.240220365906,0.0,0.0,0.01605084562388953
3,42345,242345,paper_like_finetune,random_slope_shift_hard_heldout,/home/jkouil/robot_project/artifacts/student_paper_like_finetune_same_budget/best_by_eval.pt,/home/jkouil/robot_project/configs/student_paper_like_finetune_same_budget.yaml,50,0.44,2.91010650682542,4.306274082638015,0.14119583214572995,867.7712102728516,0.0,0.0,0.294494674658729
3,42345,142345,residual_gated_imu_clean,random_slope_shift,/home/jkouil/robot_project/artifacts/student_residual_gated_imu_clean_bc/best_by_val_loss.pt,/home/jkouil/robot_project/configs/student_residual_gated_imu_clean.yaml,50,0.2,3.2819067513311815,4.39287721746147,0.14493981221991123,1008.9440803609991,0.0,0.0,0.035904662433440926
3,42345,242345,residual_gated_imu_clean,random_slope_shift_hard_heldout,/home/jkouil/robot_project/artifacts/student_residual_gated_imu_clean_bc/best_by_val_loss.pt,/home/jkouil/robot_project/configs/student_residual_gated_imu_clean.yaml,50,0.42,2.78208680060864,4.160968483799315,0.1384032685553528,801.5124488512458,0.0,0.0,0.280895659969568
3,42345,142345,residual_bilinear_imu_clean,random_slope_shift,/home/jkouil/robot_project/artifacts/student_residual_bilinear_imu_clean_bc/best_by_eval.pt,/home/jkouil/robot_project/configs/student_residual_bilinear_imu_clean.yaml,50,0.26,3.1582914518707397,4.343729758216907,0.14422067018508108,962.0467364977886,0.0,0.0,0.10208542740646301
